"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"15099","RAD9A",-1.75594365042056,3.16519426657878,27.2560692531303,8.38368333393197e-07,"F5H492","F5H492","unreviewed","F5H492_HUMAN","Cell cycle checkpoint control protein RAD9A","RAD9A","","RAD9A","checkpoint clamp complex [GO:0030896]; DNA damage checkpoint signaling [GO:0000077]","","","ENST00000542139.1;",6.88871055791486e-05
"15123","RANBP1",-0.372197160230984,7.31121107937455,14.4835236452149,0.000231841220654683,"F8WCY3","F8WCY3","unreviewed","F8WCY3_HUMAN","Ran-specific GTPase-activating protein","RANBP1","","RANBP1","","","","ENST00000435265.5;",0.00749314585031734
"15138","RAP2B",-0.635755355264344,6.41642971500806,33.8194988132906,5.90431852684512e-08,"P61225","P61225","reviewed","RAP2B_HUMAN","Ras-related protein Rap-2b (EC 3.6.5.2)","RAP2B","FUNCTION: Small GTP-binding protein which cycles between a GDP-bound inactive and a GTP-bound active form. Involved in EGFR and CHRM3 signaling pathways through stimulation of PLCE1. May play a role in cytoskeletal rearrangements and regulate cell spreading through activation of the effector TNIK. May regulate membrane vesiculation in red blood cells. {ECO:0000269|PubMed:11877431, ECO:0000269|PubMed:15143162, ECO:0000269|PubMed:16540189}.","RAP2B","bicellular tight junction [GO:0005923]; cell-cell contact zone [GO:0044291]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]; G protein activity [GO:0003925]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein domain specific binding [GO:0019904]; negative regulation of cell migration [GO:0030336]; platelet activation [GO:0030168]; platelet aggregation [GO:0070527]; positive regulation of protein autophosphorylation [GO:0031954]; Rap protein signal transduction [GO:0032486]; regulation of protein tyrosine kinase activity [GO:0061097]; signal transduction [GO:0007165]","Q13554; Q13554-3; P52306-5; Q8WWW0; Q59EK9; Q59EK9-3","SUBCELLULAR LOCATION: Recycling endosome membrane {ECO:0000269|PubMed:16540189}; Lipid-anchor {ECO:0000269|PubMed:16540189}; Cytoplasmic side {ECO:0000269|PubMed:16540189}. Note=Associated with red blood cells-released vesicles.","ENST00000323534.5;",7.30790209563185e-06
"15180","RASSF8",0.436292496728231,6.11061990269035,14.7363440972265,0.000205940211961314,"Q8NHQ8","Q8NHQ8","reviewed","RASF8_HUMAN","Ras association domain-containing protein 8 (Carcinoma-associated protein HOJ-1)","RASSF8 C12orf2","","RASSF8","signal transduction [GO:0007165]","P14136; Q8WXH2; Q8TCT1; Q96KQ4; Q05BL1; P40222; Q8N680","","ENST00000282884.13 [Q8NHQ8-1];ENST00000381352.7 [Q8NHQ8-2];ENST00000405154.6 [Q8NHQ8-1];ENST00000541490.5 [Q8NHQ8-1];ENST00000542865.5 [Q8NHQ8-1];ENST00000615708.4 [Q8NHQ8-2];ENST00000688511.1 [Q8NHQ8-1];ENST00000689434.1 [Q8NHQ8-1];ENST00000689635.1 [Q8NHQ8-1];",0.00682604539850076
"15193","RBCK1",0.635663347090943,6.35880982978676,32.8090325713196,8.80430424923298e-08,"Q9BYM8","Q9BYM8","reviewed","HOIL1_HUMAN","RanBP-type and C3HC4-type zinc finger-containing protein 1 (EC 2.3.2.31) (HBV-associated factor 4) (Heme-oxidized IRP2 ubiquitin ligase 1) (HOIL-1) (Hepatitis B virus X-associated protein 4) (RING finger protein 54) (RING-type E3 ubiquitin transferase HOIL-1) (Ubiquitin-conjugating enzyme 7-interacting protein 3)","RBCK1 C20orf18 RNF54 UBCE7IP3 XAP3 XAP4","FUNCTION: E3 ubiquitin-protein ligase, which accepts ubiquitin from specific E2 ubiquitin-conjugating enzymes, such as UBE2L3/UBCM4, and then transfers it to substrates (PubMed:12629548, PubMed:17449468, PubMed:18711448). Functions as an E3 ligase for oxidized IREB2 and both heme and oxygen are necessary for IREB2 ubiquitination (PubMed:12629548). Promotes ubiquitination of TAB2 and IRF3 and their degradation by the proteasome (PubMed:17449468, PubMed:18711448). Component of the LUBAC complex which conjugates linear ('Met-1'-linked) polyubiquitin chains to substrates and plays a key role in NF-kappa-B activation and regulation of inflammation (PubMed:17006537, PubMed:21455173, PubMed:21455180, PubMed:21455181, PubMed:19136968). LUBAC conjugates linear polyubiquitin to IKBKG and RIPK1 and is involved in activation of the canonical NF-kappa-B and the JNK signaling pathways (PubMed:17006537, PubMed:21455173, PubMed:21455180, PubMed:21455181, PubMed:19136968). Linear ubiquitination mediated by the LUBAC complex interferes with TNF-induced cell death and thereby prevents inflammation (PubMed:17006537, PubMed:21455173, PubMed:21455180, PubMed:21455181). LUBAC is recruited to the TNF-R1 signaling complex (TNF-RSC) following polyubiquitination of TNF-RSC components by BIRC2 and/or BIRC3 and to conjugate linear polyubiquitin to IKBKG and possibly other components contributing to the stability of the complex (PubMed:17006537, PubMed:21455173, PubMed:21455180, PubMed:21455181, PubMed:19136968). The LUBAC complex is also involved in innate immunity by conjugating linear polyubiquitin chains at the surface of bacteria invading the cytosol to form the ubiquitin coat surrounding bacteria (PubMed:28481331). LUBAC is not able to initiate formation of the bacterial ubiquitin coat, and can only promote formation of linear polyubiquitins on pre-existing ubiquitin (PubMed:28481331). The bacterial ubiquitin coat acts as an 'eat-me' signal for xenophagy and promotes NF-kappa-B activation (PubMed:28481331). Together with OTULIN, the LUBAC complex regulates the canonical Wnt signaling during angiogenesis (PubMed:23708998). Binds polyubiquitin of different linkage types (PubMed:20005846, PubMed:21455181). {ECO:0000269|PubMed:12629548, ECO:0000269|PubMed:17006537, ECO:0000269|PubMed:17449468, ECO:0000269|PubMed:18711448, ECO:0000269|PubMed:19136968, ECO:0000269|PubMed:20005846, ECO:0000269|PubMed:21455173, ECO:0000269|PubMed:21455180, ECO:0000269|PubMed:21455181, ECO:0000269|PubMed:23708998, ECO:0000269|PubMed:28481331}.","RBCK1","cytosol [GO:0005829]; LUBAC complex [GO:0071797]; ubiquitin ligase complex [GO:0000151]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein sequestering activity [GO:0140311]; transcription coactivator activity [GO:0003713]; ubiquitin binding [GO:0043130]; ubiquitin-protein transferase activity [GO:0004842]; cytoplasmic sequestering of protein [GO:0051220]; defense response to bacterium [GO:0042742]; negative regulation of necroptotic process [GO:0060546]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein linear polyubiquitination [GO:0097039]; protein polyubiquitination [GO:0000209]; T cell receptor signaling pathway [GO:0050852]","P54253; Q02930-3; Q9H0I2; Q8IVS8; A0A0S2Z4Q4; P31273; Q9Y6K9; Q14005-2; Q63ZY3; Q8TBB1; O60336; P41227; Q9BU61; Q9BU61-2; P25786; Q9BYM8; Q96EP0; Q9H0F6; Q8N0S2; Q13148; Q96PN8; Q5W5X9-3; P61086; P68036; O14933; P61088; Q96IQ9; P09022; Q9JLY0; Q4VA12; P61086","","ENST00000353660.7 [Q9BYM8-3];ENST00000356286.10 [Q9BYM8-1];",1.01879866211834e-05
"15324","RFC5",-0.520589751371751,5.84948180049809,16.5769466701751,8.78082260709642e-05,"P40937","P40937","reviewed","RFC5_HUMAN","Replication factor C subunit 5 (Activator 1 36 kDa subunit) (A1 36 kDa subunit) (Activator 1 subunit 5) (Replication factor C 36 kDa subunit) (RF-C 36 kDa subunit) (RFC36)","RFC5","FUNCTION: The elongation of primed DNA templates by DNA polymerase delta and epsilon requires the action of the accessory proteins proliferating cell nuclear antigen (PCNA) and activator 1. {ECO:0000269|PubMed:8999859}.","RFC5","Ctf18 RFC-like complex [GO:0031390]; DNA replication factor C complex [GO:0005663]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; enzyme binding [GO:0019899]; DNA duplex unwinding [GO:0032508]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA-templated DNA replication [GO:0006261]; positive regulation of DNA-directed DNA polymerase activity [GO:1900264]","Q03989; Q13490; Q9H2G9; P24863; Q96D03; A0A0C4DGQ7; Q96B26; A8MTA8-2; O76011; Q8TAP4-4; Q9HAF1; O15049; Q15742; Q13285; Q96T49; P35249; Q5VWN6; O00635; Q99598; Q6GPH4; P98170; P17023; Q9BUY5","SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.","ENST00000392542.6 [P40937-2];ENST00000454402.7 [P40937-1];",0.00353283900501881
"15334","RFTN1",1.02203312365285,5.41599332281919,46.8563688005278,9.08679505915171e-10,"G3XAJ6","G3XAJ6","unreviewed","G3XAJ6_HUMAN","Raft-linking protein, isoform CRA_c (Raftlin)","RFTN1 RAFTLIN hCG_27653","","RFTN1","plasma membrane [GO:0005886]","","SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004193}; Lipid-anchor {ECO:0000256|ARBA:ARBA00004193}. Membrane {ECO:0000256|ARBA:ARBA00004635}; Lipid-anchor {ECO:0000256|ARBA:ARBA00004635}.","ENST00000432519.5;",1.89613625327808e-07
"15384","RHOB",0.587659885692362,4.73682822850672,15.5474708222476,0.000141146077378317,"P62745","P62745","reviewed","RHOB_HUMAN","Rho-related GTP-binding protein RhoB (Rho cDNA clone 6) (h6)","RHOB ARH6 ARHB","FUNCTION: Mediates apoptosis in neoplastically transformed cells after DNA damage. Not essential for development but affects cell adhesion and growth factor signaling in transformed cells. Plays a negative role in tumorigenesis as deletion causes tumor formation. Involved in intracellular protein trafficking of a number of proteins. Targets PKN1 to endosomes and is involved in trafficking of the EGF receptor from late endosomes to lysosomes. Also required for stability and nuclear trafficking of AKT1/AKT which promotes endothelial cell survival during vascular development. Serves as a microtubule-dependent signal that is required for the myosin contractile ring formation during cell cycle cytokinesis. Required for genotoxic stress-induced cell death in breast cancer cells. {ECO:0000269|PubMed:10508588, ECO:0000269|PubMed:15226397, ECO:0000269|PubMed:16236794, ECO:0000269|PubMed:21373644, ECO:0000269|PubMed:9478917}.","RHOB","cell cortex [GO:0005938]; cell projection [GO:0042995]; cleavage furrow [GO:0032154]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; late endosome membrane [GO:0031902]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein kinase binding [GO:0019901]; actin filament organization [GO:0007015]; angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; cell migration [GO:0016477]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to ionizing radiation [GO:0071479]; cortical cytoskeleton organization [GO:0030865]; endosome to lysosome transport [GO:0008333]; endothelial tube morphogenesis [GO:0061154]; establishment or maintenance of cell polarity [GO:0007163]; intracellular protein transport [GO:0006886]; mitotic cytokinesis [GO:0000281]; negative regulation of cell cycle [GO:0045786]; negative regulation of cell migration [GO:0030336]; positive regulation of angiogenesis [GO:0045766]; positive regulation of apoptotic process [GO:0043065]; positive regulation of endothelial cell migration [GO:0010595]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell migration [GO:0030334]; regulation of cell shape [GO:0008360]; Rho protein signal transduction [GO:0007266]","Q9HCE7-2; Q13829","SUBCELLULAR LOCATION: Late endosome membrane; Lipid-anchor. Cell membrane; Lipid-anchor. Nucleus. Cleavage furrow. Note=Late endosomal membrane (geranylgeranylated form). Plasma membrane (farnesylated form). Also detected at the nuclear margin and in the nucleus. Translocates to the equatorial region before furrow formation in a ECT2-dependent manner.","ENST00000272233.6;",0.00514972516643725
"15385","RHOBTB1",-1.02738370020219,6.81152776260504,65.9144113614522,1.04659437956087e-12,"A0A024QZL4","A0A024QZL4","unreviewed","A0A024QZL4_HUMAN","Rho-related BTB domain containing 1, isoform CRA_c","RHOBTB1 hCG_40241","","RHOBTB1","GTP binding [GO:0005525]; GTPase activity [GO:0003924]; small GTPase mediated signal transduction [GO:0007264]","","","",4.1769795278964e-10
"15421","RIN2",0.602265553295223,4.65904589153522,17.3607621178248,6.13911227793334e-05,"Q8WYP3","Q8WYP3","reviewed","RIN2_HUMAN","Ras and Rab interactor 2 (Ras association domain family 4) (Ras inhibitor JC265) (Ras interaction/interference protein 2)","RIN2 RASSF4","FUNCTION: Ras effector protein. May function as an upstream activator and/or downstream effector for RAB5B in endocytic pathway. May function as a guanine nucleotide exchange (GEF) of RAB5B, required for activating the RAB5 proteins by exchanging bound GDP for free GTP. {ECO:0000269|PubMed:11733506}.","RIN2","cytosol [GO:0005829]; endocytic vesicle [GO:0030139]; GTPase activator activity [GO:0005096]; GTPase regulator activity [GO:0030695]; guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase binding [GO:0031267]; endocytosis [GO:0006897]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell-matrix adhesion via fibronectin [GO:1904906]; positive regulation of vasculogenesis [GO:2001214]; small GTPase mediated signal transduction [GO:0007264]","","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.","ENST00000255006.12 [Q8WYP3-1];ENST00000648440.1 [Q8WYP3-1];",0.00266200620193491
"15463","RND3",0.687660162880443,6.00474308572418,29.6201892040726,6.88989016544018e-07,"Q53RZ3","Q53RZ3","unreviewed","Q53RZ3_HUMAN","Rho-related GTP-binding protein RhoE (Uncharacterized protein ARHE)","RND3 ARHE","","RND3","GTP binding [GO:0005525]; GTPase activity [GO:0003924]; small GTPase mediated signal transduction [GO:0007264]","","","ENST00000439275.1;ENST00000454202.5;",5.88378568014621e-05
"15502","RNF187",0.558581568653847,6.76986821714753,29.5159548457089,3.30999351460646e-07,"Q5TA31","Q5TA31","reviewed","RN187_HUMAN","E3 ubiquitin-protein ligase RNF187 (EC 2.3.2.27) (RING domain AP1 coactivator 1) (RACO-1) (RING finger protein 187) (RING-type E3 ubiquitin transferase RNF187)","RNF187","FUNCTION: E3 ubiquitin-protein ligase that acts as a coactivator of JUN-mediated gene activation in response to growth factor signaling via the MAP3K1 pathway, independently from MAPK8. {ECO:0000269|PubMed:20852630}.","RNF187","cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; innate immune response [GO:0045087]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]; protein ubiquitination [GO:0016567]; regulation of gene expression [GO:0010468]","Q8TAU3; Q9Y2P0","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20852630}. Nucleus {ECO:0000269|PubMed:20852630}. Note=Predominantly located in the cytoplasm. Shuttles between the cytoplasm and the nucleus.","ENST00000305943.9;ENST00000643372.3;",3.2365116585822e-05
"15522","RNF40",-1.26595854139946,3.32797247012085,19.6958048961124,2.14975199020316e-05,"O75150","O75150","reviewed","BRE1B_HUMAN","E3 ubiquitin-protein ligase BRE1B (BRE1-B) (EC 2.3.2.27) (95 kDa retinoblastoma-associated protein) (RBP95) (RING finger protein 40) (RING-type E3 ubiquitin transferase BRE1B)","RNF40 BRE1B KIAA0661","FUNCTION: Component of the RNF20/40 E3 ubiquitin-protein ligase complex that mediates monoubiquitination of 'Lys-120' of histone H2B (H2BK120ub1). H2BK120ub1 gives a specific tag for epigenetic transcriptional activation and is also prerequisite for histone H3 'Lys-4' and 'Lys-79' methylation (H3K4me and H3K79me, respectively). It thereby plays a central role in histone code and gene regulation. The RNF20/40 complex forms a H2B ubiquitin ligase complex in cooperation with the E2 enzyme UBE2A or UBE2B; reports about the cooperation with UBE2E1/UBCH are contradictory. Required for transcriptional activation of Hox genes. {ECO:0000269|PubMed:16307923, ECO:0000269|PubMed:19410543}.","RNF40","axon terminus [GO:0043679]; cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; HULC complex [GO:0033503]; membrane [GO:0016020]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; syntaxin-1 binding [GO:0017075]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; chromatin organization [GO:0006325]; histone H2B conserved C-terminal lysine ubiquitination [GO:0071894]; histone H2B ubiquitination [GO:0033523]; histone monoubiquitination [GO:0010390]; positive regulation of proteasomal protein catabolic process [GO:1901800]; positive regulation of protein polyubiquitination [GO:1902916]; response to peptide hormone [GO:0043434]; ubiquitin-dependent protein catabolic process [GO:0006511]","Q9Y2J4; Q9Y2J4-4; Q8IYE0-2; Q9NRI5-2; Q68J44; P42858; Q6FHY5; Q09161; P06400; Q5VTR2; Q86XK3; Q7KZS0; Q6PEW1","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10944455}.","ENST00000324685.11 [O75150-1];ENST00000357890.9 [O75150-4];",0.00110053795603176
"15524","RNF43",-3.10011639564047,3.74736410371041,42.4737802786892,8.02978969245765e-09,"Q68DV7","Q68DV7","reviewed","RNF43_HUMAN","E3 ubiquitin-protein ligase RNF43 (EC 2.3.2.27) (RING finger protein 43) (RING-type E3 ubiquitin transferase RNF43)","RNF43","FUNCTION: E3 ubiquitin-protein ligase that acts as a negative regulator of the Wnt signaling pathway by mediating the ubiquitination, endocytosis and subsequent degradation of Wnt receptor complex components Frizzled. Acts on both canonical and non-canonical Wnt signaling pathway (PubMed:18313049, PubMed:22575959, PubMed:22895187). Along with RSPO2 and ZNRF3, constitutes a master switch that governs limb specification (By similarity). {ECO:0000250|UniProtKB:P0DPR2, ECO:0000269|PubMed:18313049, ECO:0000269|PubMed:22575959, ECO:0000269|PubMed:22895187}.","RNF43","endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]; nuclear envelope [GO:0005635]; plasma membrane [GO:0005886]; frizzled binding [GO:0005109]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; negative regulation of Wnt signaling pathway [GO:0030178]; protein ubiquitination [GO:0016567]; stem cell proliferation [GO:0072089]; ubiquitin-dependent protein catabolic process [GO:0006511]; Wnt receptor catabolic process [GO:0038018]; Wnt signaling pathway [GO:0016055]","Q9ULX6; P0CG47; P62837; P61077","SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Endoplasmic reticulum membrane; Single-pass type I membrane protein. Nucleus envelope. Note=According to a report, may be secreted. {ECO:0000269|PubMed:15492824}.","ENST00000407977.7 [Q68DV7-1];ENST00000577625.5 [Q68DV7-3];ENST00000577716.5 [Q68DV7-1];ENST00000583753.5 [Q68DV7-2];ENST00000584437.5 [Q68DV7-1];",1.30858806021418e-06
"15542","ROBO3",0.89695870855904,4.04374926935599,15.4516414454484,0.000147562260098713,"Q96MS0","Q96MS0","reviewed","ROBO3_HUMAN","Roundabout homolog 3 (Roundabout-like protein 3)","ROBO3","FUNCTION: Thought to be involved during neural development in axonal navigation at the ventral midline of the neural tube (By similarity). In spinal cord development plays a role in guiding commissural axons probably by preventing premature sensitivity to Slit proteins thus inhibiting Slit signaling through ROBO1 (By similarity). Required for hindbrain axon midline crossing (PubMed:15105459). {ECO:0000250|UniProtKB:Q9Z2I4, ECO:0000269|PubMed:15105459}.","ROBO3","axon [GO:0030424]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cell-cell adhesion mediator activity [GO:0098632]; axon guidance [GO:0007411]; axon midline choice point recognition [GO:0016199]; dendrite self-avoidance [GO:0070593]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","Q99435-1","SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q9Z2I4}; Single-pass type I membrane protein {ECO:0000255}.","ENST00000397801.6 [Q96MS0-1];",0.00535385446844237
"15563","RPAP2",0.506727256605798,5.33239655511118,13.7625532634302,0.00032564527856082,"Q8IXW5","Q8IXW5","reviewed","RPAP2_HUMAN","Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2 (EC 3.1.3.16) (RNA polymerase II-associated protein 2)","RPAP2 C1orf82","FUNCTION: Protein phosphatase that displays CTD phosphatase activity and regulates transcription of snRNA genes. Recognizes and binds phosphorylated 'Ser-7' of the C-terminal heptapeptide repeat domain (CTD) of the largest RNA polymerase II subunit POLR2A, and mediates dephosphorylation of 'Ser-5' of the CTD, thereby promoting transcription of snRNA genes. {ECO:0000269|PubMed:17643375, ECO:0000269|PubMed:22137580, ECO:0000269|PubMed:24997600}.","RPAP2","cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II, holoenzyme [GO:0016591]; metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; RNA polymerase core enzyme binding [GO:0043175]; RNA polymerase II CTD heptapeptide repeat phosphatase activity [GO:0008420]; dephosphorylation of RNA polymerase II C-terminal domain [GO:0070940]; snRNA transcription [GO:0009301]","Q9HCN4; Q9NWS0; Q9H8W4; Q96P16-1; Q9NQG5","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22137580}. Nucleus {ECO:0000269|PubMed:22137580}. Note=Shuttles between the cytoplasm and the nucleus in a CRM1-dependent manner.","ENST00000610020.2 [Q8IXW5-1];",0.00979741395005445
"15574","RPL10A",0.383119452966646,10.7751124762933,19.3668508975643,2.48856692112193e-05,"P62906","P62906","reviewed","RL10A_HUMAN","60S ribosomal protein L10a (CSA-19) (Large ribosomal subunit protein uL1) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)","RPL10A NEDD6","FUNCTION: Component of the large ribosomal subunit (PubMed:12962325, PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:12962325, PubMed:23636399, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547, ECO:0000305|PubMed:12962325}.","RPL10A","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleus [GO:0005634]; polysomal ribosome [GO:0042788]; postsynaptic density [GO:0014069]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; maturation of LSU-rRNA [GO:0000470]; response to ethanol [GO:0045471]; translation [GO:0006412]","Q5S007; Q9UGC6","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}.","ENST00000322203.7;",0.00125753009585169
"15577","RPL12",0.473204200341855,9.42057574055558,27.5244464026226,7.50081731784867e-07,"P30050","P30050","reviewed","RL12_HUMAN","60S ribosomal protein L12 (Large ribosomal subunit protein uL11)","RPL12","FUNCTION: Binds directly to 26S ribosomal RNA. {ECO:0000250}.","RPL12","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; large ribosomal subunit [GO:0015934]; membrane [GO:0016020]; nucleolus [GO:0005730]; postsynaptic density [GO:0014069]; large ribosomal subunit rRNA binding [GO:0070180]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; translation [GO:0006412]","P27824; Q8NGN3","","ENST00000361436.10 [P30050-1];ENST00000536368.1 [P30050-2];",6.32267170120037e-05
"15578","RPL13",0.443831635704315,10.0272038585991,26.699382629025,1.0568750162492e-06,"H3BTH3","H3BTH3","unreviewed","H3BTH3_HUMAN","60S ribosomal protein L13","RPL13","","RPL13","ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","","","ENST00000562879.5;",8.40172675519081e-05
"15589","RPL22L1",1.25312887365148,7.18005164080038,142.249331042,1.18280283934318e-20,"Q6P5R6","Q6P5R6","reviewed","RL22L_HUMAN","60S ribosomal protein L22-like 1 (Large ribosomal subunit protein eL22-like 1)","RPL22L1","","RPL22L1","ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]","Q9H190","","ENST00000295830.13;",1.92757436051626e-17
"15590","RPL23",0.352687566613414,10.3154063044851,16.526305248534,8.98714415547069e-05,"A0A024R1Q8","A0A024R1Q8","unreviewed","A0A024R1Q8_HUMAN","60S ribosomal protein L23","RPL23 hCG_2027400","FUNCTION: Component of the large ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. {ECO:0000256|ARBA:ARBA00034092}.","RPL23","cytosolic large ribosomal subunit [GO:0022625]; nucleolus [GO:0005730]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","","","",0.00358678757355887
"15593","RPL26",0.707550612148966,10.3355163087172,43.8872809182939,3.29305852045386e-09,"P61254","P61254","reviewed","RL26_HUMAN","60S ribosomal protein L26 (Large ribosomal subunit protein uL24)","RPL26","FUNCTION: Component of the large ribosomal subunit (PubMed:26100019, PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:26100019, PubMed:23636399, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547, ECO:0000305|PubMed:26100019}.","RPL26","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904]; mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cellular response to gamma radiation [GO:0071480]; cellular response to UV [GO:0034644]; cytoplasmic translation [GO:0002181]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; positive regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator [GO:1902164]; positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902167]; positive regulation of translation [GO:0045727]; regulation of translation involved in cellular response to UV [GO:1904803]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]; translation [GO:0006412]","","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}.","ENST00000582556.5;ENST00000583011.6;ENST00000584164.6;ENST00000648839.1;",6.13324308819006e-07
